Title,Company,Experience,Location,Salary,Salary (L),min Salary (L),max Salary (L),avg salary (L),Experience (yrs),min Experience (yrs),max Experience (yrs),avg Experience (yrs)
Data Engineer PySpark & pandas remote,Team Plus Staffing Solution,3-8 Yrs,"Hyderabad/Secunderabad(Kondapur), Pune, Gurgaon/Gurugram(Sohna)",12-20 Lacs PA,12-20 ,12,20 ,16.0,3-8 ,3,8 ,5.5
AWS Developer / AWS Data Engineer / AWS Glue,Cognizant,9-12 Yrs,"Kochi/ Cochin, Kerala, Kolkata, West Bengal, Hyderabad/ Secunderabad, Telangana, Chennai, Tamil Nadu, Coimbatore, Tamil Nadu, Bangalore/Bengaluru",13-23 Lacs PA,13-23 ,13,23 ,18.0,9-12 ,9,12 ,10.5
Hiring | Data Engineer - Data Bricks and Data Factory,Virtual Caliber,5-10 Yrs,"Kochi/ Cochin, Kerala, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",1-6 Lacs PA,1-6 ,1,6 ,3.5,5-10 ,5,10 ,7.5
Opportunity For Data Engineer - Bangalore - Hybrid,ITC Infotech,5-9 Yrs,Hybrid - Bangalore/Bengaluru,12-18 Lacs PA,12-18 ,12,18 ,15.0,5-9 ,5,9 ,7.0
Azure Data Engineer,Tech Mahindra,5-10 Yrs,"Hybrid - Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",15-25 Lacs PA,15-25 ,15,25 ,20.0,5-10 ,5,10 ,7.5
Data Engineer Gcp,Nexplace Info,4-8 Yrs,Bangalore/Bengaluru,50000-2.25 Lacs PA,0.5-2.25 ,0.5,2.25 ,1.375,4-8 ,4,8 ,6.0
Data Engineer  (Data Science),Gibraltar Technologies Llc,8-10 Yrs,"Bangalore/ Bengaluru, Karnataka",20-25 Lacs PA,20-25 ,20,25 ,22.5,8-10 ,8,10 ,9.0
Consultant - Data Engineer - Big Data and DWH,Indiaexcite It Solutions,5-9 Yrs,"Bangalore/ Bengaluru, Karnataka",15-25 Lacs PA,15-25 ,15,25 ,20.0,5-9 ,5,9 ,7.0
Data Engineer and BI developer,PBI Analytics,0-1 Yrs,Remote,1.5-2 Lacs PA,1.5-2 ,1.5,2 ,1.75,0-1 ,0,1 ,0.5
Data Science Engineer,Advance Career Solutions,6-10 Yrs,"Hyderabad/Secunderabad, Chennai, Coimbatore, Tamil Nadu, Bangalore/Bengaluru",8.5-18.5 Lacs PA,8.5-18.5 ,8.5,18.5 ,13.5,6-10 ,6,10 ,8.0
Data Engineer (freelance),Excel Talent Plus,5-10 Yrs,"Hybrid - Hyderabad/ Secunderabad, Telangana",10-18 Lacs PA,10-18 ,10,18 ,14.0,5-10 ,5,10 ,7.5
Insight Data Analyst,Vuca Consulting,5-10 Yrs,"Noida, Uttar Pradesh, Bangalore/ Bengaluru, Karnataka, Delhi / NCR",10-20 Lacs PA,10-20 ,10,20 ,15.0,5-10 ,5,10 ,7.5
Hiring For Data analyst- Bangalore,Shadowfax Technologies,2-5 Yrs,"Bangalore/ Bengaluru, Karnataka(4th Block Koramangala)",4-6 Lacs PA,4-6 ,4,6 ,5.0,2-5 ,2,5 ,3.5
Sr. Data Engineer with leading financial product MNC,EDGE Executive,5-9 Yrs,"Hybrid - Hyderabad/Secunderabad, Ahmedabad, Gurgaon/Gurugram",10-20 Lacs PA,10-20 ,10,20 ,15.0,5-9 ,5,9 ,7.0
Sr. Software Engineer(Data engineer) Lead,Krazy Mantra,7-12 Yrs,Remote,30-40 Lacs PA,30-40 ,30,40 ,35.0,7-12 ,7,12 ,9.5
Urgent Hiring: Lead Data Engineer,HR Central,7-12 Yrs,"Hybrid - Hyderabad/Secunderabad, Bangalore/Bengaluru",18-30 Lacs PA,18-30 ,18,30 ,24.0,7-12 ,7,12 ,9.5
Data Engineer Lead - Azure (BLR/Chennai/PUNE/GGN/Mumbai),Imaginators Try Going Beyond,5-10 Yrs,"Mumbai, Maharashtra, Pune, Maharashtra, Gurgaon/ Gurugram, Haryana, Chennai, Tamil Nadu, Bangalore/ Bengaluru, Karnataka",9.5-19.5 Lacs PA,9.5-19.5 ,9.5,19.5 ,14.5,5-10 ,5,10 ,7.5
Data Engineer - Bangalore/Hyderabad,Green Start,10-20 Yrs,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",10-20 Lacs PA,10-20 ,10,20 ,15.0,10-20 ,10,20 ,15.0
Lead Data Engineer,Info Edge,3-6 Yrs,Hybrid - Noida(Sector-132 Noida),20-35 Lacs PA,20-35 ,20,35 ,27.5,3-6 ,3,6 ,4.5
Senior Data Engineer,Exponentia Datalabs,4-6 Yrs,"Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)",12-16 Lacs PA,12-16 ,12,16 ,14.0,4-6 ,4,6 ,5.0
Data Engineer-SE/SSE/TL/Sr.TL,Hissar IT,3-8 Yrs,"Hybrid - Pune, Maharashtra, Chennai, Bangalore/Bengaluru",10-20 Lacs PA,10-20 ,10,20 ,15.0,3-8 ,3,8 ,5.5
Senior Cloud DATA Engineer,Aanseaa Technologies,6-10 Yrs,Hybrid - Bangalore/Bengaluru,15-25 Lacs PA,15-25 ,15,25 ,20.0,6-10 ,6,10 ,8.0
Senior Data Engineer,Staffspectrum Services,7-12 Yrs,"Bangalore/ Bengaluru, Karnataka",40-45 Lacs PA,40-45 ,40,45 ,42.5,7-12 ,7,12 ,9.5
Data Engineer/ Senior Data Engineer,Symphoni Hr,5-10 Yrs,"Hybrid - Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",10-20 Lacs PA,10-20 ,10,20 ,15.0,5-10 ,5,10 ,7.5
Senior Data Engineer,Multi Recruit,5-9 Yrs,Bangalore/Bengaluru,30-35 Lacs PA,30-35 ,30,35 ,32.5,5-9 ,5,9 ,7.0
Senior Data Engineer,Ascendion Engineering,10-15 Yrs,Remote,15-30 Lacs PA,15-30 ,15,30 ,22.5,10-15 ,10,15 ,12.5
Sr. Data Engineer(MDM /SSIS) at Citrix R&D ( WFO Bangalore),Citrix,4-9 Yrs,Bangalore Rural,5-15 Lacs PA,5-15 ,5,15 ,10.0,4-9 ,4,9 ,6.5
"Sr. Data Engineer with News Corp, Bangalore(Hybrid)",News Technology Services,4-8 Yrs,Hybrid - Bangalore/Bengaluru,22.5-25 Lacs PA,22.5-25 ,22.5,25 ,23.75,4-8 ,4,8 ,6.0
Sr Data Engineer,Olive Green Consulting,6-10 Yrs,Hybrid - Bangalore/Bengaluru,11-20 Lacs PA,11-20 ,11,20 ,15.5,6-10 ,6,10 ,8.0
Senior Big Data Engineer,We Remote Devs Pvt Ltd.,8-13 Yrs,"Chennai, Bangalore/Bengaluru",30-45 Lacs PA,30-45 ,30,45 ,37.5,8-13 ,8,13 ,10.5
Sr Azure Data Engineer,Abzooba India Infotech,8-12 Yrs,"Pune, Maharashtra",22.5-27.5 Lacs PA,22.5-27.5 ,22.5,27.5 ,25.0,8-12 ,8,12 ,10.0
Data Engineer,Venpa Staffing,5-8 Yrs,"Pune, Maharashtra, Bangalore/ Bengaluru, Karnataka, Mumbai (All Areas)",20-35 Lacs PA,20-35 ,20,35 ,27.5,5-8 ,5,8 ,6.5
Data Engineer,Buyersroad,2-5 Yrs,"Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",10-16 Lacs PA,10-16 ,10,16 ,13.0,2-5 ,2,5 ,3.5
Data Engineer,Imaginators Try Going Beyond,7-12 Yrs,"Mumbai, Maharashtra, Pune, Maharashtra, Gurgaon/ Gurugram, Haryana, Chennai, Bangalore/Bengaluru",10-18 Lacs PA,10-18 ,10,18 ,14.0,7-12 ,7,12 ,9.5
"Data Engineer-Python-(Bangalore, Gurgaon, Chennai, Pune, Mumbai)",Imaginators Try Going Beyond,3-8 Yrs,"Pune, Maharashtra, Gurgaon/ Gurugram, Haryana, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)",14-24 Lacs PA,14-24 ,14,24 ,19.0,3-8 ,3,8 ,5.5
"Data Engineer-Python-(Bangalore, Gurgaon, Chennai, Pune, Mumbai)",Imaginators Try Going Beyond,3-8 Yrs,"Pune, Maharashtra, Gurgaon/ Gurugram, Haryana, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)",14-24 Lacs PA,14-24 ,14,24 ,19.0,3-8 ,3,8 ,5.5
Data Engineer Master Data Management,Artech,4-9 Yrs,Bangalore/Bengaluru,8-15 Lacs PA,8-15 ,8,15 ,11.5,4-9 ,4,9 ,6.5
Consultant- Data Engineer,One of the largest IT services organizations,5-9 Yrs,"Bangalore Rural, Karnataka, Bangalore/Bengaluru",14-24 Lacs PA,14-24 ,14,24 ,19.0,5-9 ,5,9 ,7.0
Data Engineer,Tech Mahindra,4-9 Yrs,Hybrid - Hyderabad/Secunderabad,10-20 Lacs PA,10-20 ,10,20 ,15.0,4-9 ,4,9 ,6.5
Data Engineer,2coms,3-8 Yrs,"Hyderabad/Secunderabad, Hyderabad",4.75-9.75 Lacs PA,4.75-9.75 ,4.75,9.75 ,7.25,3-8 ,3,8 ,5.5
Full Stack Engineer( data Science)-Notice Period (Immediate),Notus Services,8-13 Yrs,"Bangalore/ Bengaluru, Karnataka",20-30 Lacs PA,20-30 ,20,30 ,25.0,8-13 ,8,13 ,10.5
Data extraction engineer python,Relu Consultancy,0-2 Yrs,Remote,2-5 Lacs PA,2-5 ,2,5 ,3.5,0-2 ,0,2 ,1.0
Data Analyst,Selective Global Search,2-6 Yrs,Faridabad,3-5.5 Lacs PA,3-5.5 ,3,5.5 ,4.25,2-6 ,2,6 ,4.0
Big Data Lead Engineer_ Pyspark & AWS,Epam Systems,7-12 Yrs,"Hybrid - Hyderabad/ Secunderabad, Telangana, Pune, Maharashtra, Gurgaon/ Gurugram, Haryana, Chennai, Tamil Nadu, Bangalore/ Bengaluru, Karnataka",20-35 Lacs PA,20-35 ,20,35 ,27.5,7-12 ,7,12 ,9.5
Data Analyst,IntraEdge Technology,7-12 Yrs,"Temp. WFH - Pune, Maharashtra, Gurgaon/ Gurugram, Haryana, Bangalore/Bengaluru",5-15 Lacs PA,5-15 ,5,15 ,10.0,7-12 ,7,12 ,9.5
Senior Sales Manager - SAAS/Data Mgmt product To Life science industry,Pyramid Human Resources Consultancy,10-15 Yrs,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",10-20 Lacs PA,10-20 ,10,20 ,15.0,10-15 ,10,15 ,12.5
Data Analyst (Bangalore),Krazy Mantra,7-12 Yrs,Bangalore/Bengaluru,20-30 Lacs PA,20-30 ,20,30 ,25.0,7-12 ,7,12 ,9.5
Data Analyst,Skillmine Technology Consulting,4-6 Yrs,"Bangalore/ Bengaluru, Karnataka",11-13 Lacs PA,11-13 ,11,13 ,12.0,4-6 ,4,6 ,5.0
Data Analyst,Skillmine Technology Consulting,4-6 Yrs,"Hybrid - Bangalore/ Bengaluru, Karnataka",4.75-9.75 Lacs PA,4.75-9.75 ,4.75,9.75 ,7.25,4-6 ,4,6 ,5.0
Data Governance - Data Retention Analyst,Search Advisers Services Guj,3-5 Yrs,Hybrid - Bangalore/Bengaluru,8-18 Lacs PA,8-18 ,8,18 ,13.0,3-5 ,3,5 ,4.0
Data Analyst,Pylon Management Consulting,2-4 Yrs,"Hybrid - Chennai, Tamil Nadu, Bangalore/ Bengaluru, Karnataka",10-12 Lacs PA,10-12 ,10,12 ,11.0,2-4 ,2,4 ,3.0
Data Retention Analyst - Data Governance,Search Advisers Services Guj,3-5 Yrs,Hybrid - Bangalore/Bengaluru,9.5-15 Lacs PA,9.5-15 ,9.5,15 ,12.25,3-5 ,3,5 ,4.0
Data Analyst,APC Consultants,2-7 Yrs,"Chennai, Tamil Nadu",4-7 Lacs PA,4-7 ,4,7 ,5.5,2-7 ,2,7 ,4.5
Data Analyst,Luv Sethi,5-10 Yrs,Remote,8-16 Lacs PA,8-16 ,8,16 ,12.0,5-10 ,5,10 ,7.5
Data Architect,Tata Consultancy Services (TCS),8-13 Yrs,"Hybrid - Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR",12-22 Lacs PA,12-22 ,12,22 ,17.0,8-13 ,8,13 ,10.5
Tcs Hiring Big Data Engineer_PanIndia,Tata Consultancy Services (TCS),4-8 Yrs,"Pune, Maharashtra, Bangalore Rural, Karnataka, Mumbai (All Areas)",3-8 Lacs PA,3-8 ,3,8 ,5.5,4-8 ,4,8 ,6.0
Principal Data Engineering Architect @ Bangalore,Brainsearch Consulting,10-16 Yrs,"Pune, Chennai, Bangalore/Bengaluru(Nagavarapalya)",40-60 Lacs PA,40-60 ,40,60 ,50.0,10-16 ,10,16 ,13.0
Lead Data Engineer,Selective Global Search,7-12 Yrs,"New Delhi, Hyderabad/Secunderabad, Bangalore/Bengaluru",30-40 Lacs PA,30-40 ,30,40 ,35.0,7-12 ,7,12 ,9.5
Lead Data Engineer,Selective Global Search,7-12 Yrs,"New Delhi, Hyderabad/Secunderabad, Bangalore/Bengaluru",30-40 Lacs PA,30-40 ,30,40 ,35.0,7-12 ,7,12 ,9.5
Gcp Data Engineer,Snapminds Technologies,7-12 Yrs,"Hybrid - Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",35-60 Lacs PA,35-60 ,35,60 ,47.5,7-12 ,7,12 ,9.5
Lead Data Engineer,Wipzo Systech,7-10 Yrs,"Hybrid - Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru(Mahadevpura)",30-40 Lacs PA,30-40 ,30,40 ,35.0,7-10 ,7,10 ,8.5
"Lead Data Engineer-US Based MNC-Bangalore,Hyderabad",Selective Global Search,5-10 Yrs,"Hyderabad/Secunderabad, Bangalore/Bengaluru",25-30 Lacs PA,25-30 ,25,30 ,27.5,5-10 ,5,10 ,7.5
Senior Data Engineer MLOps - Remote,XA Group,5-8 Yrs,Remote,18-30 Lacs PA,18-30 ,18,30 ,24.0,5-8 ,5,8 ,6.5
Senior Azure Data Engineer,Lykora Consulting,6-9 Yrs,Hybrid - Bangalore/Bengaluru,6.5-16.5 Lacs PA,6.5-16.5 ,6.5,16.5 ,11.5,6-9 ,6,9 ,7.5
Senior Data Engineer,Live Connections,3-8 Yrs,Remote,25-40 Lacs PA,25-40 ,25,40 ,32.5,3-8 ,3,8 ,5.5
Senior Engineer-Data Engineer,Imerit,8-13 Yrs,Bangalore/Bengaluru,15-30 Lacs PA,15-30 ,15,30 ,22.5,8-13 ,8,13 ,10.5
Sr. Data Engineer | Kinesis,Masadir Hr Services,5-7 Yrs,Pune,15-27.5 Lacs PA,15-27.5 ,15,27.5 ,21.25,5-7 ,5,7 ,6.0
Senior Data Engineer - Pune - Rudder Analytics,Rudder Analytics,3-6 Yrs,Temp. WFH - Pune,8-16 Lacs PA,8-16 ,8,16 ,12.0,3-6 ,3,6 ,4.5
Senior Data Engineer,Mijas Consultants,4-7 Yrs,"Pune, Maharashtra",11-21 Lacs PA,11-21 ,11,21 ,16.0,4-7 ,4,7 ,5.5
Azure Data Engineer,Talent21,5-10 Yrs,"Kolkata, Hyderabad/ Secunderabad, Telangana, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",60000-80000 PA,0.6-0.8 ,0.6,0.8 ,0.7,5-10 ,5,10 ,7.5
Cloud Data Engineer,Epam Systems,4-9 Yrs,"Hybrid - Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR",16-30 Lacs PA,16-30 ,16,30 ,23.0,4-9 ,4,9 ,6.5
SSAS- T-sql Data engineer,KPI Partners,8-13 Yrs,"Hyderabad/Secunderabad, Pune, Maharashtra, Bangalore/Bengaluru",14-24 Lacs PA,14-24 ,14,24 ,19.0,8-13 ,8,13 ,10.5
Azure Data Engineer,KPI Partners,5-10 Yrs,"Hybrid - Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru",6-16 Lacs PA,6-16 ,6,16 ,11.0,5-10 ,5,10 ,7.5
Data Engineer,Mckinsol Consulting,2-7 Yrs,"Chennai, Bangalore/ Bengaluru, Karnataka",8-16 Lacs PA,8-16 ,8,16 ,12.0,2-7 ,2,7 ,4.5
Data Engineer,Vanshria Holdings And Ventures,5-8 Yrs,Remote,15-20 Lacs PA,15-20 ,15,20 ,17.5,5-8 ,5,8 ,6.5
Data Engineer,Ascendion Engineering,4-9 Yrs,Remote,15-22.5 Lacs PA,15-22.5 ,15,22.5 ,18.75,4-9 ,4,9 ,6.5
Data Engineer,Exponentia Datalabs,2-4 Yrs,"Bangalore/ Bengaluru, Karnataka",7-12 Lacs PA,7-12 ,7,12 ,9.5,2-4 ,2,4 ,3.0
Data Engineer,Customer Centria,5-6 Yrs,"Bangalore Rural, Mumbai (All Areas)",12-17 Lacs PA,12-17 ,12,17 ,14.5,5-6 ,5,6 ,5.5
Azure Data Engineer,Truebonzer,5-10 Yrs,"Hybrid - Hyderabad/Secunderabad, Bangalore/ Bengaluru, Karnataka",15-30 Lacs PA,15-30 ,15,30 ,22.5,5-10 ,5,10 ,7.5
Data Engineer Data Platform,Gibraltar Technologies Llc,8-10 Yrs,"Bangalore/ Bengaluru, Karnataka",20-25 Lacs PA,20-25 ,20,25 ,22.5,8-10 ,8,10 ,9.0
Azure Data Engineer,Winwire Technologies,5-8 Yrs,"Hyderabad/ Secunderabad, Telangana, Bangalore/ Bengaluru, Karnataka",16-20 Lacs PA,16-20 ,16,20 ,18.0,5-8 ,5,8 ,6.5
Data Engineer,CTD Techs,5-10 Yrs,"Chennai, Bangalore/Bengaluru",5-15 Lacs PA,5-15 ,5,15 ,10.0,5-10 ,5,10 ,7.5
Big Data Engineer,Masterkube,2-5 Yrs,"Hybrid - Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",5-12 Lacs PA,5-12 ,5,12 ,8.5,2-5 ,2,5 ,3.5
Azure Data Engineer,PwC,4-9 Yrs,"Kolkata, West Bengal",4-9 Lacs PA,4-9 ,4,9 ,6.5,4-9 ,4,9 ,6.5
Data Engineer,Espire Infolabs,6-10 Yrs,Hybrid - Gurgaon/Gurugram,8-15 Lacs PA,8-15 ,8,15 ,11.5,6-10 ,6,10 ,8.0
Data Engineer,Tata Technologies,3-5 Yrs,"Thane, Maharashtra",3-8 Lacs PA,3-8 ,3,8 ,5.5,3-5 ,3,5 ,4.0
Freshers For Data Engineer,Koantek Cloud And Ai Services,0-1 Yrs,Remote,5-7 Lacs PA,5-7 ,5,7 ,6.0,0-1 ,0,1 ,0.5
Data Engineer,Tata Technologies,3-6 Yrs,"Thane, Maharashtra",6-10 Lacs PA,6-10 ,6,10 ,8.0,3-6 ,3,6 ,4.5
GCP Data Engineer,RSn G Info Solutions,1-2 Yrs,"Hybrid - Vijayawada, Andhra Pradesh, Visakhapatnam/ Vizag, Andhra Pradesh, Guntur, Andhra Pradesh",2.5-3.5 Lacs PA,2.5-3.5 ,2.5,3.5 ,3.0,1-2 ,1,2 ,1.5
Hiring For Lead Data analyst From Telecom Domain Day shift (WFH),Career Consulting Professionals,7-12 Yrs,"Temp. WFH - Noida, Uttar Pradesh",20-25 Lacs PA,20-25 ,20,25 ,22.5,7-12 ,7,12 ,9.5
Data Analyst,Aarushi Consulting Services,2-4 Yrs,"Mumbai, Maharashtra",4-5 Lacs PA,4-5 ,4,5 ,4.5,2-4 ,2,4 ,3.0
Hiring For Data Analyst @ Medanta Gurgaon,Medanta,2-5 Yrs,"Gurgaon/ Gurugram, Haryana",2.5-3.25 Lacs PA,2.5-3.25 ,2.5,3.25 ,2.875,2-5 ,2,5 ,3.5
Data Analyst Trainer - Excel VBA Expert - Full/Part Time @ Laxmi Nagar,Skillsandjob,4-9 Yrs,Delhi / NCR,4-7 Lacs PA,4-7 ,4,7 ,5.5,4-9 ,4,9 ,6.5
Data Analyst-Utility Billing Division,Ardem Data Services,1-2 Yrs,"Lucknow, Uttar Pradesh",1.25-1.75 Lacs PA,1.25-1.75 ,1.25,1.75 ,1.5,1-2 ,1,2 ,1.5
Data Analyst,Engineered Seal Products (ESP),2-5 Yrs,"Chennai, Tamil Nadu(Perungudi)",3-6 Lacs PA,3-6 ,3,6 ,4.5,2-5 ,2,5 ,3.5
Data Analyst,Waybeo Technology Solutions Pvt Ltd.,1-3 Yrs,"Trivandrum/ Thiruvananthapuram, Kerala",3-5 Lacs PA,3-5 ,3,5 ,4.0,1-3 ,1,3 ,2.0
Principal Data Engineering Architect @ Bangalore,Brainsearch Consulting,9-14 Yrs,"Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru(Whitefield)",35-45 Lacs PA,35-45 ,35,45 ,40.0,9-14 ,9,14 ,11.5
Lead Data Engineer | Kinesis,Masadir Hr Services,8-12 Yrs,"Pune, Maharashtra",20-35 Lacs PA,20-35 ,20,35 ,27.5,8-12 ,8,12 ,10.0
Sr. Data Engineer (AWS),Torinit Consulting Services,5-8 Yrs,Remote,16-30 Lacs PA,16-30 ,16,30 ,23.0,5-8 ,5,8 ,6.5
Senior Data Engineer,Evolent Health,5-9 Yrs,Hybrid - Pune,12-22 Lacs PA,12-22 ,12,22 ,17.0,5-9 ,5,9 ,7.0
Data Engineer,In Time Tec,3-7 Yrs,"Jaipur, Bangalore/Bengaluru",8-18 Lacs PA,8-18 ,8,18 ,13.0,3-7 ,3,7 ,5.0
Data Engineer,Evoke HR,3-8 Yrs,"Kolkata, Pune, Bangalore/Bengaluru",8-10 Lacs PA,8-10 ,8,10 ,9.0,3-8 ,3,8 ,5.5
Data Engineer,Selective Global Search,3-8 Yrs,"Hyderabad/Secunderabad, Bangalore/Bengaluru",20-25 Lacs PA,20-25 ,20,25 ,22.5,3-8 ,3,8 ,5.5
Data Engineer - Bangalore WFO,Macrohire,5-7 Yrs,Bangalore/Bengaluru(Hebbal),15-22.5 Lacs PA,15-22.5 ,15,22.5 ,18.75,5-7 ,5,7 ,6.0
SDE 2 Backend(Data Engineer),Whizdm Innovations,3-6 Yrs,Temp. WFH - Bangalore/Bengaluru,15-27.5 Lacs PA,15-27.5 ,15,27.5 ,21.25,3-6 ,3,6 ,4.5
Data Engineer,Sdna Global,7-12 Yrs,"Mohali, Pune, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru",20-30 Lacs PA,20-30 ,20,30 ,25.0,7-12 ,7,12 ,9.5
Big Data Engineer,Krazy Mantra,4-7 Yrs,"Pune, Chennai, Bangalore/Bengaluru",6-16 Lacs PA,6-16 ,6,16 ,11.0,4-7 ,4,7 ,5.5
Data Engineer,Resources Valley,3-8 Yrs,"Ajmer, Jaipur, Bangalore/Bengaluru",9-18 Lacs PA,9-18 ,9,18 ,13.5,3-8 ,3,8 ,5.5
Data Engineer,Mount Talent Consulting,6-9 Yrs,"Bangalore/Bengaluru, Delhi / NCR",14-24 Lacs PA,14-24 ,14,24 ,19.0,6-9 ,6,9 ,7.5
GCP Data Engineer,3minds Esolutions,5-10 Yrs,"Hybrid - Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru",50000-2.5 Lacs PA,0.5-2.5 ,0.5,2.5 ,1.5,5-10 ,5,10 ,7.5
Hiring Data Engineer For MNC - Chennai,CTD Techs,4-9 Yrs,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",5-15 Lacs PA,5-15 ,5,15 ,10.0,4-9 ,4,9 ,6.5
Data Engineer,Mascot E-services,4-9 Yrs,"Bangalore/ Bengaluru, Karnataka",13-23 Lacs PA,13-23 ,13,23 ,18.0,4-9 ,4,9 ,6.5
SAP Hana Consultant with DATA Engineer,3minds Esolutions,5-10 Yrs,Remote,15-30 Lacs PA,15-30 ,15,30 ,22.5,5-10 ,5,10 ,7.5
Data Engineer,Zen Data Shastra,3-8 Yrs,"Hybrid - Bangalore/ Bengaluru, Karnataka",10-15 Lacs PA,10-15 ,10,15 ,12.5,3-8 ,3,8 ,5.5
Data Engineer,TSIT Digital,8-13 Yrs,Hybrid - Bangalore/Bengaluru,15-30 Lacs PA,15-30 ,15,30 ,22.5,8-13 ,8,13 ,10.5
Data Engineer,Factspan Analytics,6-10 Yrs,Bangalore/Bengaluru,10-17 Lacs PA,10-17 ,10,17 ,13.5,6-10 ,6,10 ,8.0
Data Engineer,Think People Solutions,4-9 Yrs,Hybrid - Bangalore/Bengaluru,14-19 Lacs PA,14-19 ,14,19 ,16.5,4-9 ,4,9 ,6.5
Data Engineer,Black And White Business Solutions,4-9 Yrs,Bangalore/Bengaluru,15-25 Lacs PA,15-25 ,15,25 ,20.0,4-9 ,4,9 ,6.5
Data Engineer,Univ.AI,4-8 Yrs,"Chennai, Bangalore/Bengaluru",10-15 Lacs PA,10-15 ,10,15 ,12.5,4-8 ,4,8 ,6.0
Immediate need For Trainer in Azure Data Engineering,Samprasoft Technologies,3-8 Yrs,Remote,3-6 Lacs PA,3-6 ,3,6 ,4.5,3-8 ,3,8 ,5.5
Data Engineer Manager,Imaginators Try Going Beyond,6-11 Yrs,"Bangalore/ Bengaluru, Karnataka",10-20 Lacs PA,10-20 ,10,20 ,15.0,6-11 ,6,11 ,8.5
Data Bricks Engineer,On Time Solutions,6-8 Yrs,Hybrid - Bangalore/Bengaluru,10-14 Lacs PA,10-14 ,10,14 ,12.0,6-8 ,6,8 ,7.0
ETL- Data Engineer,Olive Green Consulting,5-8 Yrs,Hybrid - Bangalore/Bengaluru,12-18 Lacs PA,12-18 ,12,18 ,15.0,5-8 ,5,8 ,6.5
Azure Data Engineer,Tech Mahindra,6-9 Yrs,Hyderabad/Secunderabad,15-25 Lacs PA,15-25 ,15,25 ,20.0,6-9 ,6,9 ,7.5
Senior Bigdata developer/Lead : Big Data developer,IRI worldwide A Circana company,4-9 Yrs,Hybrid - Pune,16-22.5 Lacs PA,16-22.5 ,16,22.5 ,19.25,4-9 ,4,9 ,6.5
Data Engineer,Selective Global Search,8-12 Yrs,Bangalore/Bengaluru,13-23 Lacs PA,13-23 ,13,23 ,18.0,8-12 ,8,12 ,10.0
Data Science Engineer,Vservice It Solutions,6-10 Yrs,Bangalore/Bengaluru,8-17 Lacs PA,8-17 ,8,17 ,12.5,6-10 ,6,10 ,8.0
Data Engineer,Starinco,3-8 Yrs,"Kolkata, West Bengal",3-8 Lacs PA,3-8 ,3,8 ,5.5,3-8 ,3,8 ,5.5
Data bricks lead,Thakral One,6-8 Yrs,"Bangalore/ Bengaluru, Karnataka",14-20 Lacs PA,14-20 ,14,20 ,17.0,6-8 ,6,8 ,7.0
Senior Data Modeller,Buzzworks Business Services,6-10 Yrs,Hybrid - Bangalore/Bengaluru,10-20 Lacs PA,10-20 ,10,20 ,15.0,6-10 ,6,10 ,8.0
Data Analyst,Aavas Financiers,1-3 Yrs,"Jaipur, Rajasthan",2-4.5 Lacs PA,2-4.5 ,2,4.5 ,3.25,1-3 ,1,3 ,2.0
Low-Code/Appian Developer and Data Analyst,ANSI IT Solutions Ltd,5-10 Yrs,Remote,18-30 Lacs PA,18-30 ,18,30 ,24.0,5-10 ,5,10 ,7.5
Data Analyst,Quinte Financial Technologies,2-6 Yrs,Chennai,4-6 Lacs PA,4-6 ,4,6 ,5.0,2-6 ,2,6 ,4.0
Data Analyst,Donovan Apparels,2-5 Yrs,Delhi / NCR,3-5 Lacs PA,3-5 ,3,5 ,4.0,2-5 ,2,5 ,3.5
Data Analyst - Pune,Pharmarack Technologies,1-3 Yrs,"Pune, Maharashtra",7-11 Lacs PA,7-11 ,7,11 ,9.0,1-3 ,1,3 ,2.0
Data Analyst,Vision Unlimited,1-6 Yrs,"Mohali, Chandigarh",3-4.75 Lacs PA,3-4.75 ,3,4.75 ,3.875,1-6 ,1,6 ,3.5
