Title,Company,Experience,Location,Salary,Salary (L),min Salary (L),max Salary (L),avg salary (L),Experience (yrs),min Experience (yrs),max Experience (yrs),avg Experience (yrs)
Hiring Data Scientist - Pune,People Powered Solutions,3-6 Yrs,Pune(Kalyani Nagar),7-15 Lacs PA,7-15 ,7,15 ,11.0,3-6 ,3,6 ,4.5
Data Scientist,Innopark,5-6 Yrs,Hyderabad/Secunderabad,25-40 Lacs PA,25-40 ,25,40 ,32.5,5-6 ,5,6 ,5.5
Data Scientist,Infinite Uptime India Pvt. Ltd.,2-4 Yrs,Remote,12-18 Lacs PA (Including Variable: 10.0%),12-18  ,12,18  ,15.0,2-4 ,2,4 ,3.0
Data Scientist,Tronlogix Tech pvt ltd.,5-10 Yrs,Chennai,10-15 Lacs PA,10-15 ,10,15 ,12.5,5-10 ,5,10 ,7.5
Data Scientist,Pinnacle Specialists,2-5 Yrs,"Hybrid - Madurai, Chennai, Coimbatore",4-8 Lacs PA,4-8 ,4,8 ,6.0,2-5 ,2,5 ,3.5
Data Scientist,Flexi Careers India,7-12 Yrs,Chennai,27.5-37.5 Lacs PA,27.5-37.5 ,27.5,37.5 ,32.5,7-12 ,7,12 ,9.5
"Data Scientist, Chennai location",Creative Hands HR,2-6 Yrs,Chennai,8-13 Lacs PA,8-13 ,8,13 ,10.5,2-6 ,2,6 ,4.0
Data Scientist - Noida,Elizabeth N Queen,3-8 Yrs,Remote,15-25 Lacs PA,15-25 ,15,25 ,20.0,3-8 ,3,8 ,5.5
Data scientist - Gurgaon - Python / Machine Learning / Hadoop,Industrial Personnel Network,3-7 Yrs,Gurgaon/Gurugram,14-24 Lacs PA,14-24 ,14,24 ,19.0,3-7 ,3,7 ,5.0
Data Scientist,Bsri Solutions,5-10 Yrs,Temp. WFH - Chennai,6-16 Lacs PA,6-16 ,6,16 ,11.0,5-10 ,5,10 ,7.5
Lead Data Scientist / ML Engineer-- US MNC (analytics),Aspyra Hr Services,5-10 Yrs,"Temp. WFH - Gurgaon/ Gurugram, Haryana, Bangalore/Bengaluru, Mumbai (All Areas)",25-40 Lacs PA,25-40 ,25,40 ,32.5,5-10 ,5,10 ,7.5
Data Scientist-Junior,Talentify,0-5 Yrs,"Hybrid - Hyderabad/Secunderabad, Bangalore/Bengaluru, Delhi / NCR",8-18 Lacs PA,8-18 ,8,18 ,13.0,0-5 ,0,5 ,2.5
Sr Data Scientist- Simulation,Search Advisers Services Guj,6-10 Yrs,Bangalore/Bengaluru(Marathahalli),25-30 Lacs PA,25-30 ,25,30 ,27.5,6-10 ,6,10 ,8.0
Sr Data Scientist- Simulation,Search Advisers Services Guj,5-10 Yrs,"Bangalore/ Bengaluru, Karnataka",16-22.5 Lacs PA,16-22.5 ,16,22.5 ,19.25,5-10 ,5,10 ,7.5
