Job title,Company,Experience,Location,Salary,Salary (L),min Salary (L),max Salary (L),avg salary (L),Experience (yrs),min Experience (yrs),max Experience (yrs),avg Experience (yrs)
Data Scientist,Hissar IT,8-12 Yrs,Bangalore,15-30 Lacs PA,15-30 ,15.0,30.0,22.5,8-12 ,8,12,10.0
data engineer,Aezion Technologies,8-13 Yrs,Bangalore,15-25 Lacs PA,15-25 ,15.0,25.0,20.0,8-13 ,8,13,10.5
data engineer,Indiaexcite It Solutions,8-12 Yrs,Bangalore,20-32.5 Lacs PA,20-32.5 ,20.0,32.5,26.25,8-12 ,8,12,10.0
data engineer,SLICeR Solutions Pvt. Ltd.,4-6 Yrs,Bangalore,7-12 Lacs PA,7-12 ,7.0,12.0,9.5,4-6 ,4,6,5.0
data engineer,Allegis Group,8-13 Yrs,Bangalore,8-18 Lacs PA,8-18 ,8.0,18.0,13.0,8-13 ,8,13,10.5
data engineer,Allegis Group,8-12 Yrs,Bangalore,15-25 Lacs PA,15-25 ,15.0,25.0,20.0,8-12 ,8,12,10.0
data engineer,ITC Infotech,5-8 Yrs,Bangalore,50000-60000 PA,0.5-0.6 ,0.5,0.6,0.55,5-8 ,5,8,6.5
data engineer,Randstad,6-9 Yrs,Bangalore,1-6 Lacs PA,1-6 ,1.0,6.0,3.5,6-9 ,6,9,7.5
data engineer,Nexplace Info,4-9 Yrs,Bangalore,1.25-2.25 Lacs PA,1.25-2.25 ,1.25,2.25,1.75,4-9 ,4,9,6.5
Data Analyst,Axtria,7-12 Yrs,Bangalore,15-30 Lacs PA,15-30 ,15.0,30.0,22.5,7-12 ,7,12,9.5
Data Analyst,Select Source International,6-10 Yrs,Bangalore,10-14 Lacs PA,10-14 ,10.0,14.0,12.0,6-10 ,6,10,8.0
Data Analyst,Fabzen Technologies,2-4 Yrs,Bangalore,8-10 Lacs PA,8-10 ,8.0,10.0,9.0,2-4 ,2,4,3.0
Data Analyst,Dainik Bhaskar Group,7-10 Yrs,Maharashtra,6-8 Lacs PA,6-8 ,6.0,8.0,7.0,7-10 ,7,10,8.5
Data Analyst,Randstad India,2-7 Yrs,remote,2.5-7 Lacs PA,2.5-7 ,2.5,7.0,4.75,2-7 ,2,7,4.5
data engineer,Techneplus Software India Private Limited,5-8 Yrs,Bangalore,25-32.5 Lacs PA,25-32.5 ,25.0,32.5,28.75,5-8 ,5,8,6.5
Data Scientist,RMW India Services,8-13 Yrs,Bangalore,13-23 Lacs PA,13-23 ,13.0,23.0,18.0,8-13 ,8,13,10.5
na,RMS Technologies,2-3 Yrs,Bangalore,3-4 Lacs PA,3-4 ,3.0,4.0,3.5,2-3 ,2,3,2.5
Data Scientist,Support Star Corporate,7-10 Yrs,hyderabad,15-25 Lacs PA,15-25 ,15.0,25.0,20.0,7-10 ,7,10,8.5
data engineer,Allegis Group,6-11 Yrs,hyderabad,50000-3 Lacs PA,0.5-3 ,0.5,3.0,1.75,6-11 ,6,11,8.5
data engineer,Tata Consultancy Services (TCS),5-10 Yrs,Bangalore,50000-2.75 Lacs PA,0.5-2.75 ,0.5,2.75,1.625,5-10 ,5,10,7.5
ML Engineer,Strydo Technologies,0-2 Yrs,Misc,1-2.5 Lacs PA,1-2.5 ,1.0,2.5,1.75,0-2 ,0,2,1.0
Data Analyst,Factspan Analytics,3-8 Yrs,Bangalore,4-9 Lacs PA,4-9 ,4.0,9.0,6.5,3-8 ,3,8,5.5
Data Analyst,"Retail Kloud9 Technologies India Pvt. Ltd.,",7-12 Yrs,Bangalore,20-25 Lacs PA,20-25 ,20.0,25.0,22.5,7-12 ,7,12,9.5
Data Analyst,Compass Group,2-5 Yrs,Maharashtra,2-5 Lacs PA,2-5 ,2.0,5.0,3.5,2-5 ,2,5,3.5
Data Analyst,ReNew Power,1-4 Yrs,Gurugram,3-7 Lacs PA,3-7 ,3.0,7.0,5.0,1-4 ,1,4,2.5
Data Analyst,Citicorp Finance,4-9 Yrs,Hybrid,15-27.5 Lacs PA,15-27.5 ,15.0,27.5,21.25,4-9 ,4,9,6.5
Data Analyst,Acurus,0-3 Yrs,Chennai,3.5-4 Lacs PA,3.5-4 ,3.5,4.0,3.75,0-3 ,0,3,1.5
Data Analyst,ActionEdge Research Services,0-3 Yrs,Gujrat,2.25-3 Lacs PA,2.25-3 ,2.25,3.0,2.625,0-3 ,0,3,1.5
Data Analyst,National Institute for Smart Government (NISG),3-5 Yrs,Gurugram,10-15 Lacs PA,10-15 ,10.0,15.0,12.5,3-5 ,3,5,4.0
Data Analyst,Tenet Health Edutech,0-0 Yrs,Maharashtra,1.75-2.5 Lacs PA,1.75-2.5 ,1.75,2.5,2.125,0-0 ,0,0,0.0
Data Analyst,Ohm Analytics,0-2 Yrs,Pune,1.5-3.5 Lacs PA,1.5-3.5 ,1.5,3.5,2.5,0-2 ,0,2,1.0
Data Analyst,Technosoft Engineering,0-2 Yrs,Maharashtra,1-3 Lacs PA,1-3 ,1.0,3.0,2.0,0-2 ,0,2,1.0
data engineer,Imaginators Try Going Beyond,4-7 Yrs,Bangalore,10-18 Lacs PA,10-18 ,10.0,18.0,14.0,4-7 ,4,7,5.5
data engineer,Imaginators Try Going Beyond,5-10 Yrs,Bangalore,17-25 Lacs PA,17-25 ,17.0,25.0,21.0,5-10 ,5,10,7.5
data engineer,Lentra,8-12 Yrs,Bangalore,15-30 Lacs PA,15-30 ,15.0,30.0,22.5,8-12 ,8,12,10.0
data engineer,Imaginators Try Going Beyond,4-7 Yrs,Bangalore,10-18 Lacs PA,10-18 ,10.0,18.0,14.0,4-7 ,4,7,5.5
data engineer,Imaginators Try Going Beyond,5-10 Yrs,Bangalore,17-25 Lacs PA,17-25 ,17.0,25.0,21.0,5-10 ,5,10,7.5
data engineer,Tech Mahindra,6-11 Yrs,hyderabad,7-17 Lacs PA,7-17 ,7.0,17.0,12.0,6-11 ,6,11,8.5
data engineer,Manpowergroup Services India,5-10 Yrs,Hybrid,11-21 Lacs PA,11-21 ,11.0,21.0,16.0,5-10 ,5,10,7.5
data engineer,Citrix,4-9 Yrs,Bangalore,5-15 Lacs PA,5-15 ,5.0,15.0,10.0,4-9 ,4,9,6.5
data engineer,Luxoft,6-10 Yrs,remote,10-20 Lacs PA,10-20 ,10.0,20.0,15.0,6-10 ,6,10,8.0
na,Newpage Hr Solutions Llp,1-6 Yrs,Bangalore,5-10 Lacs PA,5-10 ,5.0,10.0,7.5,1-6 ,1,6,3.5
data engineer,Infogain,4-9 Yrs,Bangalore,10-20 Lacs PA,10-20 ,10.0,20.0,15.0,4-9 ,4,9,6.5
