Title,Company,Experience,Location,Salary
Data Scientist - R/Python,Okda Solutions,4-7 Yrs,"Temp. WFH - Kolkata, Mumbai, Visakhapatnam, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Delhi / NCR, Bangalore/Bengaluru",Not disclosed
Data Scientist,Megma Services,1-4 Yrs,"Mumbai, Bangalore/Bengaluru",Not disclosed
Data Scientist,Megma Services,1-4 Yrs,"Mumbai, Bangalore/Bengaluru",Not disclosed
Data Scientist,Zobbs,2-3 Yrs,Bangalore/Bengaluru,Not disclosed
Data Scientist,Xenneo Tech,3-7 Yrs,Hybrid - Noida,Not disclosed
Data Scientist,Innovaccer,3-4 Yrs,Noida,Not disclosed
Data Scientist,Franklin Templeton,2-7 Yrs,Mumbai,Not disclosed
Job Opening For Data Scientist(PSI) @ GlobalData(Hyd),Globaldata,5-10 Yrs,Hybrid - Hyderabad/Secunderabad(Kondapur),Not disclosed
Data Scientist,Tata Consultancy Services (TCS),7-12 Yrs,Delhi / NCR,"50,000-3 Lacs PA"
Data Scientist,Cognizant,10-15 Yrs,Hybrid - Hyderabad/Secunderabad,Not disclosed
Data Scientist,IBM,5-8 Yrs,New Delhi,Not disclosed
Data Scientist,ContractPod,4-7 Yrs,Mumbai,Not disclosed
SME Data Scientist,Skillety,6-10 Yrs,Mumbai,Not disclosed
Data Scientist,Viaprom Technologies,4-5 Yrs,Kochi/Cochin,Not disclosed
Data Scientist,Aujla Business Software,4-8 Yrs,Panaji/Panjim,40-50 Lacs PA
Data Scientist,Viaprom Technologies,4-5 Yrs,Kochi/Cochin,Not disclosed
Data Scientist,Acme Services,2-8 Yrs,Mumbai,Not disclosed
Data Scientist,Ripik.AI,2-6 Yrs,Noida,Not disclosed
Supplychain Data Scientist,Mondelez,3-8 Yrs,Mumbai,Not disclosed
Data Scientist || HYD || WFO,Pranathi Software Services,3-4 Yrs,Hyderabad/Secunderabad(Begumpet),Not disclosed
Data Scientist,The Edge Partnership,8-10 Yrs,"Hyderabad/Secunderabad, Pune",Not disclosed
Data Scientist (Demand Planning & Prediction),Crofarm,3-7 Yrs,Gurgaon/Gurugram,20-25 Lacs PA
Data Scientist,Ericsson,5-10 Yrs,Noida,Not disclosed
Data Scientist,ERM Placement Services (p) Ltd.,1-4 Yrs,"Kolkata, West Bengal",Not disclosed
Data Scientist,Cardinal Health,6-10 Yrs,"Hybrid - Bangalore/ Bengaluru, Karnataka",Not disclosed
Data Scientist,Easy Data Analytics,4-6 Yrs,"Bangalore/ Bengaluru, Karnataka",6-15 Lacs PA
Data Scientist,Acronotics,4-9 Yrs,Remote,Not disclosed
Data Scientist,Harman Connected Services Corporation India Pvt.,4-5 Yrs,Bangalore/Bengaluru,Not disclosed
Data Scientist,Dolby,5-8 Yrs,Bangalore/Bengaluru,Not disclosed
Data Scientist - Python/Machine Learning,Recbots,3-7 Yrs,Bangalore/Bengaluru,Not disclosed
"Data Scientist, Ads Insight and Measurement",Google Asia Pacific,2-4 Yrs,Bangalore/Bengaluru,Not disclosed
Data Scientist - III,Medi Assist,5-10 Yrs,Bangalore/Bengaluru,Not disclosed
Data Scientist,CoStrategix,3-7 Yrs,Bangalore/Bengaluru,Not disclosed
Data Scientist,Harman Connected Services Corporation India Pvt.,6-8 Yrs,Bangalore/Bengaluru,Not disclosed
Data Scientist,Hakimo,3-5 Yrs,Bangalore/Bengaluru,Not disclosed
Data Scientist,Harman Connected Services Corporation India Pvt.,5-6 Yrs,Bangalore/Bengaluru,Not disclosed
Data Scientist - Digital Marketing Solutions,Options India Group,3-8 Yrs,Kolkata,Not disclosed
Data Scientist - Machine Learning,Career Infosystem,1-5 Yrs,Noida,Not disclosed
Data Scientist - Image Recognition/Machine Learning,CARBYNETECH,5-10 Yrs,Hyderabad/Secunderabad,Not disclosed
CarbyneTech - Data Scientist - Image Recognition/Machine Learning,CARBYNETECH,5-10 Yrs,Hyderabad/Secunderabad,Not disclosed
Data Scientist - Machine Learning/Python,CARBYNETECH,3-8 Yrs,Hyderabad/Secunderabad,Not disclosed
Data Scientist - Python/Machine Learning,Kaarlo Training & Hr Solutions,3-7 Yrs,Madurai,Not disclosed
Data Scientist - FMCG - IIT/NIT/IIM/ISB,Options India Group,3-8 Yrs,Delhi,Not disclosed
Data Scientist,Apar Peopleworld,6-11 Yrs,"Noida, Uttar Pradesh, Kolkata, West Bengal, Hyderabad/ Secunderabad, Telangana, Bangalore/Bengaluru",Not disclosed
Data Scientist - Healthcare Domain,E Solutions,8-12 Yrs,"Noida, Bhubaneswar, Pune, Bangalore/Bengaluru",Not disclosed
Data Scientist,Ontrack Hr Services,10-20 Yrs,Hybrid - Bangalore/Bengaluru,8-18 Lacs PA
Data Analyst & Scientist,Siemens Gamesa Renewable Energy,3-8 Yrs,Bangalore/Bengaluru,Not disclosed
Data Scientist,Lumbini Elite Solutions & Services,2-7 Yrs,Bangalore/Bengaluru,Not disclosed
Exciting job Opportunities For IIT's || Data Scientist,Value Innovation,3-6 Yrs,Remote,Not disclosed
Senior Scientist/NLP/Machine Learning/Data Mining Professional,Career Maker,2-7 Yrs,Bangalore/Bengaluru,Not disclosed
