Title,Company,Experience,Location,Salary
Senior Data Scientist,Innoplexus,6-11 Yrs,Pune,Not disclosed
Senior Data Scientist,Agrya Consulting,5-10 Yrs,Chennai,Not disclosed
Senior Data Scientist,Tridiagonal Solutions,3-8 Yrs,Pune,Not disclosed
Senior Python Developer / Data Scientist,Nikah Forever,4-5 Yrs,New Delhi,Not disclosed
Senior AI Data Scientist,Seven Consultancy (HR Solution),3-4 Yrs,Chennai,Not disclosed
Senior AI Data Scientist,Seven Consultancy (HR Solution),5-10 Yrs,Mumbai,Not disclosed
Senior AI Data Scientist,Seven Consultancy (HR Solution),5-10 Yrs,New Delhi,Not disclosed
Data Scientist Senior,Anicalls,2-5 Yrs,Noida,Not disclosed
Data Scientist Senior,Anicalls,5-8 Yrs,Mumbai,Not disclosed
Data Scientist Senior,Anicalls,5-8 Yrs,Hyderabad/Secunderabad,Not disclosed
Data Scientist Senior,Anicalls,5-8 Yrs,Chennai,Not disclosed
Senior Deep Learning Data Scientist,Number Theory Software,2-6 Yrs,Gurgaon,Not disclosed
Data Scientist - Product Analytics,Xoom,2-4 Yrs,Bangalore/Bengaluru,Not disclosed
Jr. Data Scientist,Happymonk Technology,1-4 Yrs,Bangalore/Bengaluru,Not disclosed
Data Scientist - Advanced Analytics,Novartis,3-7 Yrs,Hyderabad/Secunderabad,Not disclosed
Junior AI Data Scientist,Seven Consultancy (HR Solution),4-5 Yrs,Bangalore/Bengaluru,Not disclosed
"Associate Consultant, Data Scientist",Gartner India Research &amp; Advisory Services Pvt Ltd,2-4 Yrs,Gurgaon/Gurugram,Not disclosed
Associate Data Scientist - ML & NLP,Gartner,2-4 Yrs,Gurgaon/Gurugram,Not disclosed
Data Scientist / ML Engineer - US MNC (analytics),Aspyra Hr Services,3-8 Yrs,"Hybrid - Noida, Uttar Pradesh, Gurgaon/ Gurugram, Haryana, Delhi / NCR",15-30 Lacs PA
Hiring Lead Data Scientist - For Oil & Gas Project,Proclink,8-13 Yrs,"Hybrid - Hyderabad/Secunderabad, Pune, Ahmedabad",Not disclosed
Lead Data Scientist,Wolters Kluwer,6-10 Yrs,"Kalyani, Pune",Not disclosed
Lead Data Scientist,Think360ai,5-8 Yrs,Mumbai,Not disclosed
Lead Data Scientist,Atyeti,3-10 Yrs,Pune,Not disclosed
Lead Data Scientist,TransOrg,5-9 Yrs,"Gurgaon/Gurugram, Delhi / NCR, Mumbai (All Areas)",Not disclosed
Lead Data Scientist,Skillety,10-12 Yrs,Hyderabad/Secunderabad,Not disclosed
Lead Data Scientist - Python,Planetskool,2-7 Yrs,"Sonipat/Sonepat, Delhi / NCR",6-12 Lacs PA
Data Scientist / Lead Data Scientist | GeakMinds | Chennai,Geak Minds,3-8 Yrs,Temp. WFH - Chennai,Not disclosed
Lead Data Scientist - Life Insurance,Serving Skill,8-12 Yrs,Mumbai,Not disclosed
Lead Data Scientist,Nissan Technical Centre,4-7 Yrs,Trivandrum/Thiruvananthapuram,Not disclosed
Data Science - Lead Data Scientist,Jet2 Travel Technologies,5-8 Yrs,Pune,Not disclosed
Lead Data Scientist,Nissan Technical Centre,4-10 Yrs,Trivandrum/Thiruvananthapuram,Not disclosed
Lead Data Scientist,Here Technologies,7-11 Yrs,Mumbai,Not disclosed
Lead Data Scientist,Data Axle Solutions,6-10 Yrs,Pune,Not disclosed
Lead Data Scientist,Deepquanty,3-8 Yrs,Chennai,Not disclosed
Lead Data Scientist,Topgear Consultants,8-13 Yrs,Noida,Not disclosed
Data Scientist - NLP Lead,Anicalls,5-10 Yrs,Noida,Not disclosed
Lead Data Scientist,Bit Brothers Tech,4-6 Yrs,Mumbai,Not disclosed
Data Scientist Team Lead,Zignaai,3-8 Yrs,Hyderabad/Secunderabad,Not disclosed
Lead Data Scientist,Navikenz,5-10 Yrs,Noida,Not disclosed
Lead Data Scientist,Central Depository Services (India) Limited,4-5 Yrs,Mumbai,Not disclosed
Lead Data Scientist,Demandmatrix,5-7 Yrs,Pune,Not disclosed
Lead Data Scientist,Egnify Technologies,6-11 Yrs,Hyderabad/Secunderabad,Not disclosed
Lead Data Scientist,Geak Minds,5-8 Yrs,Chennai,Not disclosed
Practice Lead - Data Scientist,Saxon Ai,3-8 Yrs,Hyderabad/Secunderabad,Not disclosed
Lead Data Scientist,Providence College Of Engineering,6-10 Yrs,Hyderabad/Secunderabad,Not disclosed
Principal Data Scientist,Ceresight,4-9 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Not disclosed
Principal Data Scientist,Agilon Health,5-10 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Not disclosed
TransOrg Analytics - Data Scientist,TransOrg,3-6 Yrs,"Mumbai, Gurgaon/Gurugram, Delhi / NCR, Bangalore/Bengaluru",Not disclosed
Manager 2 Principal Data Scientist,Concentrix,10-16 Yrs,Bangalore/Bengaluru,Not disclosed
Applied Data Scientist,Tesco,1-2 Yrs,Bangalore/Bengaluru,Not disclosed
Data Scientist II,Glance,2-6 Yrs,Bangalore/Bengaluru,Not disclosed
Data Scientist Ii,Glance,3-6 Yrs,Bangalore/Bengaluru,Not disclosed
"Data Scientist, Analytics, Engine...",Anicalls,5-8 Yrs,Bangalore/Bengaluru,Not disclosed
Data Scientist Web Analytics,Symmetrical Global Search Pvt Ltd,10-12 Yrs,Bangalore/Bengaluru,Not disclosed
Principal Data Scientist,Dev Solutions,7-13 Yrs,Bangalore/Bengaluru,Not disclosed
Data Scientist - Healthcare Analytics,Skillety,12-15 Yrs,Bangalore/Bengaluru,Not disclosed
Data Scientist-Health Care Analytics,Skillety,5-12 Yrs,Bangalore/Bengaluru,Not disclosed
Data Scientist II,Sixt,4-6 Yrs,Bangalore/Bengaluru,Not disclosed
Data Scientist: Advanced Analytics,Anicalls,10-12 Yrs,Bangalore/Bengaluru,Not disclosed
R&D Data Scientist,Corner Tree Consulting,2-10 Yrs,Bangalore/Bengaluru,Not disclosed
Principal Data Scientist,Tekion,5-11 Yrs,Bangalore/Bengaluru,Not disclosed
Data Scientist Knowledge Graph Expert,Skillety,8-15 Yrs,Bangalore/Bengaluru,Not disclosed
Data Scientist 2,Xoom,5-10 Yrs,"Chennai, Bangalore/Bengaluru",Not disclosed
Data Scientist 2,Xoom,3-5 Yrs,Bangalore/Bengaluru,Not disclosed
Principal Data Scientist,"Continues Intelligence Lab Pvt.Ltd,",10-15 Yrs,Bengaluru,Not disclosed
Associate Data Scientist,Gen Re,3-5 Yrs,Mumbai,Not disclosed
Data Scientist - Software Engineer,Objective Systems Integrators,15-18 Yrs,Gurgaon/Gurugram,Not disclosed
Jr. Data Scientist / ML Engineer,Appstek Information Services,2-7 Yrs,Hyderabad/Secunderabad,Not disclosed
Sr.Data Analyst/ Scientist,Anicalls,5-9 Yrs,Bangalore/Bengaluru,Not disclosed
Manager Data Scientist,Vipsa Talent Solutions,8-12 Yrs,Bangalore/Bengaluru,25-30 Lacs PA
Data Scientist SME,Amsi Technologies,4-9 Yrs,"Temp. WFH - Chennai, Bangalore/Bengaluru",Not disclosed
Executive FPA - Data Scientist,Tata AIA Life Insurance,1-4 Yrs,"Mumbai, Maharashtra",Not disclosed
Data Scientist - Digital Enterprise,Maruti Suzuki,3-6 Yrs,Gurgaon/Gurugram,Not disclosed
Data Scientist II,F5 Web Solutions,2-6 Yrs,Hyderabad/Secunderabad,Not disclosed
Assistant Manager/ Deputy Manager - Data Scientist,Maruti Suzuki,4-9 Yrs,Gurgaon/Gurugram,Not disclosed
AM/DM - Data Scientist,Maruti Suzuki,4-6 Yrs,Gurgaon/Gurugram,Not disclosed
Junior Data Scientist,Satc Marketing India,2-7 Yrs,Remote,9-15 Lacs PA
Associate Data Scientist,Revol Process Solutions,3-12 Yrs,Chennai,Not disclosed
Associate Data Scientist,Innoplexus,2-7 Yrs,Pune,Not disclosed
Associate - Data Scientist,Nedo Placements Consultancy,4-6 Yrs,Gurgaon/Gurugram,Not disclosed
Associate Data Scientist,Right Step Consulting,3-6 Yrs,Noida,Not disclosed
Associate Data Scientist,Recruitrix Technologies,2-4 Yrs,Hyderabad/Secunderabad,Not disclosed
Associate - Data Scientist,Teachers Insurance and Annuity Association of America (TIAA),6-8 Yrs,Pune,Not disclosed
Freelance Data Scientist Trainer,Top Mentor,2-7 Yrs,Remote,Not disclosed
Data Scientist Manager,Prospect One Consultants,6-11 Yrs,"Hybrid - Chennai, Tamil Nadu",Not disclosed
Data Scientist/Analytics Specialist,TransOrg,2-5 Yrs,"Delhi / NCR, Mumbai (All Areas)",Not disclosed
Junior Data Scientist,NMD,1-6 Yrs,Gurgaon/Gurugram,Not disclosed
Junior Data Scientist,Soothsayer Analytics,1-6 Yrs,Hyderabad/Secunderabad,Not disclosed
Junior AI Data Scientist,Seven Consultancy (HR Solution),1-6 Yrs,New Delhi,Not disclosed
Junior AI Data Scientist,Seven Consultancy (HR Solution),1-6 Yrs,Mumbai,Not disclosed
Junior AI Data Scientist,Seven Consultancy (HR Solution),4-9 Yrs,Chennai,Not disclosed
Junior Data Scientist,NMD,1-6 Yrs,Gurgaon/Gurugram,Not disclosed
Junior Data Scientist,Aichunks,1-6 Yrs,Chandigarh,Not disclosed
Junior Data Scientist,Blackstraw Technologies,1-4 Yrs,Chennai,Not disclosed
Data Scientist - II (Contract),Netomi,3-7 Yrs,Gurgaon/Gurugram,Not disclosed
Data Scientist - II (Contract),Netomi,5-7 Yrs,Gurgaon/Gurugram,Not disclosed
Data Scientist II,Wolters Kluwer,4-8 Yrs,"Kalyani, Pune",Not disclosed
"Data Scientist, Analytics, BI Consultant",Anicalls,5-8 Yrs,Mumbai,Not disclosed
Data Scientist 2,Xoom,5-7 Yrs,Chennai,Not disclosed
"Developers, Data Scientists, Web Designers, Android Developers",Cogmac Technologies,1-5 Yrs,Noida,Not disclosed
Data Scientist Intern,Oxo Solutions,1-3 Yrs,Amritsar,Not disclosed
"Data Scientist Analytics, Strategic Pricing",Global Industrial,3-7 Yrs,Mumbai,Not disclosed
"Jr.Data Scientist, Rider Analytics",Anicalls,5-9 Yrs,Hyderabad/Secunderabad,Not disclosed
"Data Scientist, Analytics",Anicalls,5-8 Yrs,Chennai,Not disclosed
"Data Scientist, Analytics",Anicalls,5-8 Yrs,Mumbai,Not disclosed
"Data Scientist, Analytics",Anicalls,5-8 Yrs,Noida,Not disclosed
Data Scientist II,F5,3-7 Yrs,Hyderabad/Secunderabad,Not disclosed
Data Scientist II,"F5 Networks, Inc",3-7 Yrs,Hyderabad/Secunderabad,Not disclosed
Data Scientist II,F5,3-7 Yrs,Hyderabad/Secunderabad,Not disclosed
Data Scientist Analytics,Anicalls,10-12 Yrs,Chennai,Not disclosed
Data Scientist Advanced Analytics,Anicalls,10-12 Yrs,Noida,Not disclosed
Data Scientist (Intern),Aichunks,3-8 Yrs,Chandigarh,Not disclosed
Manager - Data Scientist,Aeries Technology,7-11 Yrs,Mumbai,Not disclosed
Principal Data Scientist,Skillety,12-15 Yrs,Hyderabad/Secunderabad,Not disclosed
Principal Data Scientist,Providence College Of Engineering,12-20 Yrs,Hyderabad/Secunderabad,Not disclosed
Data Scientist - Speech & Text Analytics,Anicalls,5-10 Yrs,Hyderabad/Secunderabad,Not disclosed
OA Data Scientist- consultant,Fusion Plus Solutions,4-6 Yrs,Hyderabad/Secunderabad,Not disclosed
Associate Scientist - Data Engineering,Axa Technology Services,2-5 Yrs,Gurgaon/Gurugram,Not disclosed
Data Analyst - Senior Associate/ Team Lead,Paytm,2-5 Yrs,Bangalore/Bengaluru,Not disclosed
Assistant Scientist - Data Engineering,Axa Technology Services,2-5 Yrs,Gurgaon/Gurugram,Not disclosed
Senior / Sr. Lead Data Analyst,Airtel,7-12 Yrs,Gurgaon/Gurugram,Not disclosed
Senior Lead Business Intelligence Analyst - Data Engineer,Alp Consulting,5-8 Yrs,Bangalore/Bengaluru,Not disclosed
Data Analyst,Quickxpert Infotech,0-5 Yrs,"Kolkata, Indore, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",Not disclosed
Data Analyst / Data Engineer (ADF/Data bricks/pyspark),Wipro,5-10 Yrs,"Hybrid - Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Not disclosed
Data Engineer,Bigbasket,0-3 Yrs,Bangalore/Bengaluru,Not disclosed
Senior Analyst - Data Management,Accenture,3-6 Yrs,Bangalore/Bengaluru,Not disclosed
Data Analyst,Danfoss,0-5 Yrs,Chennai,Not disclosed
"Lead Engineer, Senior-(Data Engineer- Java/Cloud)","Qualcomm Technologies, Inc",6-8 Yrs,Bangalore/Bengaluru,Not disclosed
Sr Lead/Staff Engineer- /Infra Data Engineer,"Qualcomm Technologies, Inc",3-20 Yrs,Bangalore/Bengaluru,Not disclosed
ER - Data Engineer/Lead,Altimetrik,4-8 Yrs,Bangalore/Bengaluru,Not disclosed
Sr. Data Engineer - (Java + Spark),Visa Inc,3-8 Yrs,Bangalore/Bengaluru,Not disclosed
Opportunity For RRT Analyst (Citrix/VDI Admin) - NTT DATA Services,NTT DATA Business Solutions Private Limited,5-8 Yrs,"Noida, Uttar Pradesh, Hyderabad/ Secunderabad, Telangana, Bangalore/Bengaluru",Not disclosed
Data Analyst,ANZ,6-11 Yrs,Bangalore/Bengaluru,Not disclosed
Data Analyst,ANZ,2-6 Yrs,Bangalore/Bengaluru,Not disclosed
Data Analyst,ANZ,3-6 Yrs,Bangalore/Bengaluru,Not disclosed
Data Analyst,Knoah Solutions Pvt Ltd,0-4 Yrs,Hyderabad/Secunderabad,Not disclosed
Data Analyst,Integreon,0-2 Yrs,Mumbai,Not disclosed
Senior Lead Data Engineer,Brillio,5-8 Yrs,Bangalore/Bengaluru,Not disclosed
Data Science Engineer - IIT/NIT/BITS,Talentstack,0-5 Yrs,Bangalore/Bengaluru,Not disclosed
"Data Engineering Lead, Client Ops",Boston Consulting Group,7-9 Yrs,Bangalore/Bengaluru,Not disclosed
Senior Data Engineer,Tata Consultancy Services (TCS),6-11 Yrs,"Kolkata, West Bengal, Hyderabad/ Secunderabad, Telangana, Bangalore/ Bengaluru, Karnataka","50,000-3 Lacs PA"
Senior Engineer Data Architect,Stanley Black Decker India,8-12 Yrs,"Bangalore/ Bengaluru, Karnataka",Not disclosed
Senior Data Engineer,Nexplace Info,4-8 Yrs,Bangalore/Bengaluru,1-2.25 Lacs PA
Data Analyst - Python/Tableau,propmoservices,0-2 Yrs,"Mumbai, Pune",Not disclosed
Senior Data Analyst,Nexplace Info,6-11 Yrs,Hybrid - Bangalore/Bengaluru,30-32.5 Lacs PA
Sr.Data Analyst Gcp,Nexplace Info,6-11 Yrs,Bangalore/Bengaluru,1-3 Lacs PA
Data Science Senior Analyst,Accenture,5-8 Yrs,Bangalore/Bengaluru,Not disclosed
Data Engineer - Senior Associate,PwC,4-6 Yrs,"Kolkata, Hyderabad/Secunderabad, Bangalore/Bengaluru",Not disclosed
Data Analyst,Tata Consultancy Services (TCS),5-10 Yrs,"Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR",Not disclosed
AWS Senior Data Engineer,SELLIGENCE SOLUTIONS PRIVATE LIMITED,7-12 Yrs,"Mumbai, New Delhi, Chennai, Bangalore/Bengaluru",Not disclosed
AWS Senior Data Engineer,SELLIGENCE SOLUTIONS PRIVATE LIMITED,7-12 Yrs,"Mumbai, New Delhi, Chennai, Bangalore/Bengaluru",Not disclosed
Lead - Data Science & Engineering Unit/Senior Lead,Bajaj Finserv Ltd.,3-7 Yrs,Pune,Not disclosed
Engineer/ Senior Engineer/ Lead/ Senior Lead- System Design,Data Patterns,2-7 Yrs,Chennai,Not disclosed
Lead Data Engineer,Caterpillar Inc,7-8 Yrs,Bangalore/Bengaluru,Not disclosed
Senior Principal Analyst- Data Engineering ( GCP ),Factspan Analytics,10-17 Yrs,"Bangalore/ Bengaluru, Karnataka",Not disclosed
Sr Analyst Data Engineer,Deutsche Bank,2-6 Yrs,Pune,Not disclosed
Senior Data Engineer,Coursera,2-5 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Not disclosed
Senior / Lead Data Analyst,Groundtruth,6-8 Yrs,"Temp. WFH - Gurgaon/ Gurugram, Haryana, Bangalore/Bengaluru",Not disclosed
Senior Azure Data Engineer,Tata Consultancy Services (TCS),6-8 Yrs,"Kolkata, West Bengal, Hyderabad/ Secunderabad, Telangana, Bangalore/ Bengaluru, Karnataka","50,000-3 Lacs PA"
Senior Data Engineer,Bosch Global Software Technologies,6-10 Yrs,Bangalore/Bengaluru,Not disclosed
Senior Data Engineer,Narayana Health (NH),4-9 Yrs,Hybrid - Bangalore/Bengaluru(HSR Layout),Not disclosed
Data Developer / Architect (Data Engineer),NTT DATA Business Solutions Private Limited,5-8 Yrs,Bangalore/Bengaluru,Not disclosed
Data Engineer _AWS,Tiger Analytics,0-4 Yrs,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",Not disclosed
"Hiring Data Science Engineers - Tata Elxsi, Bangalore",Tata Elxsi,4-8 Yrs,Bangalore/Bengaluru,Not disclosed
Big Data + Azure Data Factory Data Engineer,Hexaware Technologies,7-10 Yrs,"Hybrid - Hyderabad/ Secunderabad, Telangana, Bangalore/ Bengaluru, Karnataka",20-35 Lacs PA
Hiring Data Analytics/Machine Learning Engineer - Tata Elxsi,Tata Elxsi,4-7 Yrs,Bangalore/Bengaluru,Not disclosed
"Hiring Machine Learning/Data Science Engineers - Tata Elxsi, Bangalore",Tata Elxsi,7-12 Yrs,Bangalore/Bengaluru,9-14 Lacs PA
Tech Data Analyst,Wipro,3-6 Yrs,"Hybrid - Gurgaon/ Gurugram, Haryana, Bangalore/ Bengaluru, Karnataka",10-16 Lacs PA
Celonis & Salesforce Data Analyst,Hitachi Energy,3-6 Yrs,"Chennai, Bangalore/Bengaluru",Not disclosed
Data Analyst,Brunel,4-6 Yrs,Bangalore/Bengaluru,Not disclosed
Celonis & Salesforce Data Analyst,Hitachi Ltd.,2-7 Yrs,Bangalore/Bengaluru,Not disclosed
Data Analyst,Aon,6-9 Yrs,"Hybrid - Bangalore/Bengaluru, Delhi / NCR",Not disclosed
Data Entry Analyst,Digi Verve Technologies,0-2 Yrs,Bengaluru,Not disclosed
Data Analyst,Techintelli Solutions,0-2 Yrs,"Hybrid - Noida, Uttar Pradesh, Hyderabad/ Secunderabad, Telangana, Bangalore/ Bengaluru, Karnataka",Not disclosed
Data Analyst,Aon,6-9 Yrs,"Hybrid - Bangalore/Bengaluru, Delhi / NCR",Not disclosed
Data Analyst,HARMAN,3-5 Yrs,Hybrid - Bangalore/Bengaluru,7-17 Lacs PA
Data Analyst,IBM,2-4 Yrs,Bangalore/Bengaluru,Not disclosed
Data Analyst,Brillio,0-2 Yrs,Bangalore/Bengaluru,Not disclosed
Data Analyst,Jar App,0-4 Yrs,Bangalore/Bengaluru,Not disclosed
Data Analyst,Augie,0-3 Yrs,Bangalore/Bengaluru,Not disclosed
Data Analyst,St. John’s Research Institute,0-4 Yrs,Bengaluru,Not disclosed
Data Analyst,Rystad Energy,0-3 Yrs,Bangalore/Bengaluru,Not disclosed
Data Analyst,Mm Staffing & Career Consultants,0-8 Yrs,Bangalore/Bengaluru,Not disclosed
Data Analyst,Sails Software Solutions,0-1 Yrs,"Visakhapatnam/ Vizag, Andhra Pradesh",2.5-3.5 Lacs PA
Azure Data Engineer/Lead/Architect,Tata Consultancy Services (TCS),5-10 Yrs,"Hyderabad/ Secunderabad, Telangana, Chennai, Tamil Nadu, Bangalore/ Bengaluru, Karnataka",Not disclosed
Opportunity For Lead Data Platform Engineer(GCP Data Engineer),Randstad India,9-14 Yrs,Bangalore/Bengaluru,Not disclosed
ER - Data Engineer / Lead,Altimetrik,5-9 Yrs,Bangalore/Bengaluru,Not disclosed
ER - Data Engineer/Lead,Altimetrik,4-8 Yrs,Bangalore/Bengaluru,Not disclosed
Sr Data Engineer,Visa Inc,5-7 Yrs,Bangalore/Bengaluru,Not disclosed
Senior Data Engineer,Fractal Analytics,5-10 Yrs,"Mumbai, Gurgaon/Gurugram, Bangalore/Bengaluru",Not disclosed
Senior Data Engineer (Consultant),Metamorfs,4-9 Yrs,"Karnal, Bangalore/Bengaluru",Not disclosed
Senior Data Engineer,Bayer,5-7 Yrs,Bangalore/Bengaluru,Not disclosed
Senior Data Engineer,Walmart,7-8 Yrs,Bangalore/Bengaluru,Not disclosed
Data Science - Senior Software Engineer,Paytm,3-6 Yrs,"Noida, Bangalore/Bengaluru",Not disclosed
Senior Data Engineer - CTO - SDE,Tata Elxsi,3-5 Yrs,"Pune, Chennai, Bangalore/Bengaluru, Trivandrum/Thiruvananthapuram",Not disclosed
Senior Data Engineer- GCP,Fractal Analytics,3-8 Yrs,"Mumbai, Bangalore/Bengaluru",Not disclosed
Sr. Cybersecurity Engineer - Hadoop Data Engineering,Visa Inc,5-10 Yrs,Bangalore/Bengaluru,Not disclosed
Senior Staff Engineer (Big Data),Nagarro,7-10 Yrs,Bangalore/Bengaluru,Not disclosed
Senior Manager - Data Engineering & Governance,PwC,12-16 Yrs,"Mumbai, Hyderabad/Secunderabad, Bangalore/Bengaluru",Not disclosed
Senior Finance Data Engineer 1,Cargill,6-10 Yrs,Bangalore/Bengaluru,Not disclosed
"Sr. Data Engineer - Spark, Python",Visa Inc,3-5 Yrs,Bangalore/Bengaluru,Not disclosed
Senior Data Engineer,Nexplace Info,4-9 Yrs,Hybrid - Bangalore/Bengaluru,22.5-27.5 Lacs PA
Senior Data Engineer Aws,Nexplace Info,4-7 Yrs,Bangalore/Bengaluru,6-16 Lacs PA
Sr. Data Engineer,Visa Inc,3-7 Yrs,Bangalore/Bengaluru,Not disclosed
Senior Data Engineer,Technicolor Creative Studios,6-11 Yrs,Bangalore/Bengaluru,Not disclosed
Senior Data Engineer,Technicolor Animation Games,3-6 Yrs,Bangalore/Bengaluru,Not disclosed
Senior Data Engineer,Technicolor Games,6-11 Yrs,Bangalore/Bengaluru,Not disclosed
Senior Data Engineer,Technicolor,6-8 Yrs,Bangalore/Bengaluru,Not disclosed
Power Programmer - Senior Technologist Data Engineering,Infosys,8-10 Yrs,Bangalore/Bengaluru,Not disclosed
Data Engineer - Sr. Consultant level,Visa Inc,3-7 Yrs,Bangalore/Bengaluru,Not disclosed
SR./Lead Data Analyst,Kay Bouvet Engineering,7-9 Yrs,Hyderabad/Secunderabad,Not disclosed
Sr. Data Engineer,Visa Inc,2-3 Yrs,Bangalore/Bengaluru,Not disclosed
Senior Data Engineer,Sony Corporation Of America,3-6 Yrs,Bangalore/Bengaluru,Not disclosed
Senior Data Engineer,Bajaj Finserv Ltd.,3-8 Yrs,Bangalore/Bengaluru,Not disclosed
Senior Data Engineer-1,Walmart,7-8 Yrs,Bangalore/Bengaluru,Not disclosed
Senior Data Engineer,Walmart,4-8 Yrs,Bangalore/Bengaluru,Not disclosed
Senior Data Engineer,Schneider Electric,3-6 Yrs,Bangalore/Bengaluru,Not disclosed
Data Engineer - Senior Software Engineer,Paytm,4-6 Yrs,Bangalore/Bengaluru,Not disclosed
GCP Senior Data Engineer,Ford,5-7 Yrs,Chennai,Not disclosed
Data Engineer,QS Quacquarelli Symonds,0-4 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Not disclosed
Data Engineer,Tata Consultancy Services (TCS),10-19 Yrs,"Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",Not disclosed
Data Developer / Architect (Data Engineer),NTT DATA Business Solutions Private Limited,5-8 Yrs,Bangalore/Bengaluru,Not disclosed
Hiring For Data Engineer - Allen Digital,Careernet Technologies,4-6 Yrs,Bangalore/Bengaluru,10-20 Lacs PA
BI Data Engineer,Careernet Technologies,7-12 Yrs,Bangalore/Bengaluru,Not disclosed
Data Engineer,Teamlease Digital,6-9 Yrs,"Bangalore/ Bengaluru, Karnataka",3.25-8.25 Lacs PA
Data Engineer,Aroha Technologies,0-0 Yrs,Bangalore/Bengaluru(5th Block Jayanagar),Not disclosed
Senior Data Analyst,Multi Recruit,5-10 Yrs,Bangalore/Bengaluru,30-37.5 Lacs PA
Senior Data Analyst,Ericsson,4-6 Yrs,Noida,Not disclosed
Data Analyst,The Times Group,3-8 Yrs,Bangalore/Bengaluru,Not disclosed
Environmental Sustainability Data Analyst,"PerkinElmer, Inc.",2-6 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Not disclosed
Data Analysis & Interpretation Application Developer,Accenture,6-8 Yrs,Bangalore/Bengaluru,Not disclosed
Data Analysis & Interpretation Application Developer,Accenture,4-6 Yrs,Bangalore/Bengaluru,Not disclosed
Data Analyst,Hitachi Ltd.,2-5 Yrs,Chennai,Not disclosed
Data Analyst,Hitachi Energy,2-5 Yrs,Chennai,Not disclosed
Senior Data Architect- Snowflake,Sutherland,12-22 Yrs,Remote,Not disclosed
Data Analysis & Interpretation Application Developer,Accenture,6-8 Yrs,Bangalore/Bengaluru,Not disclosed
Data Analysis & Interpretation Application Developer,Accenture,4-6 Yrs,Bangalore/Bengaluru,Not disclosed
Data Analyst -M&T,Accolite Software India Pvt Ltd,5-7 Yrs,Bangalore/Bengaluru,Not disclosed
Data Analyst-PYSPARK,Capco,3-7 Yrs,Bangalore/Bengaluru,Not disclosed
Data Analyst,Wonderla Holidays,3-6 Yrs,Bangalore/Bengaluru,2.25-4 Lacs PA
Data Analyst-PYSPARK,Capco,3-7 Yrs,Bangalore/Bengaluru,Not disclosed
Data Analyst,SRS Business Solutions (india),5-9 Yrs,Remote,Not disclosed
Procurement Data Analyst,Schneider Electric,2-3 Yrs,Bangalore/Bengaluru,Not disclosed
DATA ANALYST,Muthoot Finance,1-4 Yrs,Bangalore/Bengaluru,Not disclosed
Data Analyst,Capco,3-6 Yrs,Bengaluru,Not disclosed
Data Analyst,"Qualcomm Technologies, Inc",3-5 Yrs,"Hyderabad/Secunderabad, Bangalore/Bengaluru",Not disclosed
STAFF DATA ANALYST,Walmart,5-6 Yrs,Bangalore/Bengaluru,Not disclosed
Data Analyst,Capco,3-6 Yrs,Bangalore/Bengaluru,Not disclosed
Lab Data Analyst I,ICON plc,2-5 Yrs,"Chennai, Bangalore/Bengaluru",Not disclosed
Data Analyst,Aranca,0-2 Yrs,Mumbai(Powai),"50,000-1.75 Lacs PA"
Data Analyst,Siemens,3-6 Yrs,Thane,Not disclosed
Data Analyst 3,Zynga,5-8 Yrs,Bangalore/Bengaluru,Not disclosed
Data Analyst,Siemens,4-6 Yrs,Bangalore/Bengaluru,Not disclosed
Data Analyst,Juniper Networks,5-9 Yrs,Bangalore/Bengaluru,Not disclosed
Data Analyst,Everyday Health India,0-3 Yrs,Mumbai,Not disclosed
ML + Data Analyst -M&T_SheCodes,Accolite Software India Pvt Ltd,2-6 Yrs,Bangalore/Bengaluru,Not disclosed
Data Analyst Iii,Walmart,3-7 Yrs,Bangalore/Bengaluru,Not disclosed
Senior Data Engineer - SQL & Python,Zorba Consulting India,3-5 Yrs,"Kolkata, Mumbai, Visakhapatnam, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Delhi / NCR, Bangalore/Bengaluru",Not disclosed
Data Engineer- Senior Consultant,Techsist Solution Pvt. Ltd,4-9 Yrs,"Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Not disclosed
Senior Data Engineer,NovoTree Minds Consulting Pvt. Ltd.,8-10 Yrs,Remote,Not disclosed
